type,question,answer,file
where,Where is the Diploma Ceremonies for Architecture?,"Philip Chosky Theater, Purnell Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Art?,"Philip Chosky Theater, Purnell Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for BXA Intercollege Degree Programs?,Alumni Concert Hall,commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Biological Sciences (Master's)?,Auditorium Mellon Institute,commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Biological Sciences (Bachelor's and Doctor's)?,"Auditorium, Mellon Institute",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Biomedical Engineering?,"McConomy Auditorium, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Business Administration & Economics (Bachelor's)?,"Auditorium, Soldiers & Sailors Memorial Hall & Museum",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Carnegie Mellon Institute for Strategy and Technology?,Kresge Theatre,commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Carnegie Mellon University in Qatar Graduation Ceremony?,Qatar Foundation,commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Chemical Engineering?,"Wiegand Gym, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Chemistry?,"Social and Conference Rooms, Mellon Institute",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Civil & Environmental Engineering?,"Wiegand Gym, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Design?,"Rangos Ballroom, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Drama?,"Philip Chosky Theater & Lobby, Purnell Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Economics and Business Administration (Bachelor's)?,"Auditorium, Soldiers & Sailors Memorial Hall & Museum",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Electrical & Computer Engineering (Bachelor's)?,"Wiegand Gym, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Electrical & Computer Engineering (Master's)?,Soldiers & Sailors Memorial Hall & Museum,commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Electrical & Computer Engineering (Doctor's)?,"Studio Theater, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Energy Science Technology & Policy?,"Bosch/Spark Conference Room, Scott Hall",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Engineering & Public Policy?,"McConomy Auditorium, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Engineering & Technology Innovation Management?,"McConomy Auditorium, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Information Networking Institute?,Rodef Shalom Congregation,commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for School of Computer Science (Master's)?,"Auditorium, Soldiers & Sailors Memorial Hall & Museum",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for School of Computer Science (Doctor's)?,"McConomy Auditorium, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for School of Computer Science (Bachelor's)?,"Music Hall and Foyer, Carnegie Museum",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Social & Decision Sciences?,"Rangos Ballroom, Cohon University Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Statistics & Data Science (Master's and Doctor's)?,"Philip Chosky Theater & Lobby, Purnell Center",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Tepper School of Business (Master's)?,"Auditorium, Sailors & Soldiers Memorial Hall & Museum",commencement_schedule_data.txt
where,Where is the Diploma Ceremonies for Tepper School of Business (Doctor's)?,Simmons Auditorium,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Architecture?,Heather Workinger,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Art?,Mark Cato,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for BXA Intercollege Degree Programs?,Emily Syes,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Biological Sciences (Master's)?,Ena Miceli and Krystalyn Kovacs,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Biological Sciences (Bachelor's and Doctor's)?,Ena Miceli and Krystalyn Kovacs,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Biomedical Engineering?,Kristin Kropf,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Business Administration & Economics (Bachelor's)?,Jennifer Wegner,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Carnegie Mellon Institute for Strategy and Technology?,Jacquelyn Hopkins and Emily Half,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Carnegie Mellon University in Qatar Graduation Ceremony?,Jarrin Nevel,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Chemical Engineering?,Samantha Wessel,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Chemistry?,Karen Stump and Umi Davis,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Civil & Environmental Engineering?,Geena Provenza,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Design?,Stephanie Lange,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Drama?,Amy Nichols,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Economics and Business Administration (Bachelor's)?,Jennifer Wegner,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Electrical & Computer Engineering (Bachelor's)?,Kimmy Nguyen,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Electrical & Computer Engineering (Master's)?,Kimmy Nguyen,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Electrical & Computer Engineering (Doctor's)?,Kimmy Nguyen,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Energy Science Technology & Policy?,Nicole Rihn,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Engineering & Public Policy?,Debbie Scappatura and Victoria Finney,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Engineering & Technology Innovation Management?,Julie Mull,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Information Networking Institute?,Jessica Becker,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for School of Computer Science (Master's)?,Catherine Copetas,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for School of Computer Science (Doctor's)?,Catherine Copetas,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for School of Computer Science (Bachelor's)?,Catherine Copetas,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Social & Decision Sciences?,Connie Angermeier,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Statistics & Data Science (Master's and Doctor's)?,Teraya White and Danielle Hamilton,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Tepper School of Business (Master's)?,Wendy Hermann,commencement_schedule_data.txt
who,Who is the contact for Diploma Ceremonies for Tepper School of Business (Doctor's)?,Lawrence Rapp,commencement_schedule_data.txt
