type,question,answer,file
when,"For Spring 2024, When is First Day of Class?",January 16,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-3 add, audit & tuition adjustment drop deadline?",January 22,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Semester add, audit & tuition adjustment drop deadline?",January 29,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-3 course drop deadline?",February 07,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-3 pass/no pass & withdrawal deadline?",February 19,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-3 Faculty Course Evaluations open?",February 19,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Semester course drop deadline?",February 26,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-3 Last Day of Classes?",March 01,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-3 voucher deadline?",March 01,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-3 Exams?",March 02,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-3 Faculty Course Evaluations close?",March 02,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Spring Break?",March 04,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is First day of Mini-4 Classes?",March 11,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mid-Semester & Mini-3 grades due by 4 pm?",March 11,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Summer 2024 Registration Opens?",March 12,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-4 add, audit & tuition adjustment drop deadline?",March 15,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Semester pass/no pass & withdrawal deadline?",April 01,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-4 course drop deadline?",April 03,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Spring Carnival?",April 11,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Fall 2024 Registration Week?",April 15,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Mini-4 pass/no pass & withdrawal deadline?",April 15,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Semester & Mini-4 Faculty Course Evaluations open?",April 15,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Last Day of Classes?",April 26,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Semester & Mini-4 voucher deadline?",April 26,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Final Examinations?",April 29,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Reading Day?",May 01,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Final Examinations?",May 02,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Reading Days?",May 04,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Final Examinations?",May 06,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Semester & Mini-4 Faculty Course Evaluations close?",May 06,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Make-Up Final Examinations?",May 07,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Graduating Final Grades Due by 4 pm?",May 08,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Commencement?",May 12,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Final Grades Due by 4 pm?",May 14,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Spring Deans' Lists Posted?",May 21,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester & Mini-5 Classes Begin?",May 13,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-5 add, audit, & tuition adjustment drop deadline?",May 17,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester add, audit, & tuition adjustment drop deadline?",May 24,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Memorial Day?",May 27,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-5 course drop deadline?",May 28,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-5 pass/no pass & withdrawal deadline?",June 07,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-5 Faculty Course Evaluations open?",June 14,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester course drop deadline?",June 18,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Juneteenth?",June 19,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-5 Last Day of Classes?",June 20,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-5 voucher deadline?",June 20,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-5 Final Exams?",June 21,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-5 Faculty Course Evaluations close?",June 21,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-6 First Day of Classes?",June 24,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-5 Final Grades Due by 4 pm?",June 25,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-6 add, audit, & tuition adjustment drop deadline?",June 28,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Independence Day?",July 04,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester pass/no pass & withdrawal deadline?",July 05,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-6 drop deadline?",July 08,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Mini-6 pass/no pass & withdrawal deadline?",July 22,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester & Mini-6 Faculty Course Evalutations open?",July 29,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester & Mini-6 Last Day of Classes?",August 01,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester & Mini-6 voucher deadline?",August 01,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester & Mini-6 Final Exams?",August 02,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester & Mini-6 Faculty Course Evaluations close?",August 02,2324-academic-calendar-list-view.txt
when,"For Summer 2024, When is Semester & Mini-6 Final Grades Due by 4 pm?",August 06,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester Two Classes Begin?",June 24,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester  Two add, audit & tuition adjustment drop deadline?",June 28,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Independence Day?",July 04,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester  Two drop deadline?",July 08,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester  Two pass/no pass & withdrawal deadline?",July 22,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester  Two Faculty Course Evaulations open?",July 29,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester  Two Last Day of Classes?",August 01,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester  Two voucher deadline?",August 01,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester  Two Final Exams***?",August 02,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester  Two Faculty Course Evaluations close?",August 02,2324-academic-calendar-list-view.txt
when,"For Summer 2 2024, When is Summer Semester  Two Final Grades Due by 4 pm?",August 06,2324-academic-calendar-list-view.txt
